TownNumber,TownName,Potential,TotalVotes,PercentVote,Qualified,Disqualified,Avoda,Or,BaitYehudi,YahadutHatora,Balad,MeimadYarukim,Hadash,Gimlaim,EfraimSne,IhudLeumi,Israelim,Lev,NizolimAndAle,Kadima,IsraelBeytenu,Likud,Merez,Nudelman,RuahHadasha,Lazuz,LojmeiHevra,Raam,Koah,Koah.1,Brit,Gever,Zomet,Zabar,Daam,AleYarok,Koah.2,Lidar,Yarok,Shas
5000,תל אביב - יפו,383990,226390,58.96,224000,2390,34095,77,3417,2245,673,3052,5203,1817,457,2751,57,52,159,75785,13644,43318,17207,53,42,36,34,2451,198,0,36,41,42,273,198,1003,50,41,1081,14412
3000,ירושלים,353784,217905,61.59,215743,2162,12355,38,8944,40928,530,4519,1470,942,227,14260,41,24,83,24803,13694,51018,7181,75,101,15,16,546,86,0,26,19,23,147,64,434,26,39,445,32624
4000,חיפה,235198,136506,58.04,134710,1796,17279,43,3431,3060,2771,1049,5533,1522,320,2165,29,20,96,38196,21948,26693,4140,243,31,18,32,434,94,0,13,29,67,218,89,485,41,37,467,4117
8300,ראשון לציון,182953,117147,64.03,115839,1308,12647,25,2451,636,27,495,138,738,264,1649,23,26,72,37663,16779,31524,1957,159,13,18,22,18,248,0,22,22,24,238,63,454,30,30,580,6784
7900,פתח תקווה,155678,100123,64.31,98905,1218,8661,20,6043,3398,24,412,105,748,240,4114,12,25,64,23405,14836,25884,1539,141,19,15,22,21,161,0,19,16,21,90,45,330,41,32,341,8061
70,אשדוד,156977,96363,61.39,94776,1587,4176,23,1399,8101,43,179,46,436,109,1359,17,29,46,14896,24693,23191,738,129,16,26,24,37,59,0,14,31,26,139,93,294,27,103,212,14065
6600,חולון,149023,88202,59.19,86962,1240,9439,22,1409,450,18,321,137,760,227,1100,4,27,65,26004,10815,24253,1498,40,7,11,15,23,99,0,21,24,20,129,55,326,25,24,344,9250
7400,נתניה,150183,82783,55.12,81367,1416,5928,33,3462,1849,33,279,66,510,181,2654,22,23,53,18579,13299,23129,993,280,20,10,9,28,154,0,22,35,43,113,68,285,23,45,302,8837
9000,באר שבע,148214,79215,53.45,77853,1362,5577,19,1608,533,88,274,200,476,168,1970,15,35,59,15257,19447,21657,880,150,22,23,33,94,53,0,17,29,16,109,69,227,27,41,189,8491
8600,רמת גן,119271,75684,63.46,74932,752,11023,32,2185,531,12,648,304,1011,314,1776,20,11,49,25590,5270,18441,2881,25,12,12,15,12,93,0,11,22,21,95,27,293,18,17,452,3709
6100,בני ברק,88252,63936,72.45,63433,503,654,14,1530,34802,6,61,25,113,19,1994,4,3,15,1598,1362,3506,138,18,4,3,3,17,21,0,2,4,2,16,6,37,3,6,34,17413
6200,בת ים,124257,62926,50.64,61855,1071,4552,19,1067,442,28,133,115,626,126,1639,16,28,51,15151,13653,16023,646,88,14,13,9,23,60,0,18,17,15,103,65,256,26,42,221,6570
8400,רחובות,88121,56337,63.93,55671,666,5897,21,2204,1685,12,584,125,395,123,2681,9,15,23,13756,6981,14469,1589,34,20,7,11,20,41,0,5,26,11,65,27,187,18,59,221,4350
7100,אשקלון,89652,50644,56.49,49795,849,2812,11,1027,488,34,132,32,297,86,1424,13,26,27,7978,13631,15358,351,140,8,9,17,17,37,0,19,18,15,78,45,169,23,16,101,5356
6400,הרצליה,74585,48046,64.42,47558,488,7341,18,903,314,8,388,165,339,227,795,16,5,28,17589,3536,10786,2224,15,1,7,9,7,64,0,8,10,10,51,30,219,10,10,255,2170
6900,כפר סבא,68488,46490,67.88,46066,424,6879,17,1128,207,7,431,126,252,144,973,9,3,41,16491,4105,10448,2023,11,9,4,9,8,55,0,9,9,12,62,18,192,12,10,253,2109
8700,רעננה,58594,39669,67.7,39385,284,5540,10,1873,319,1,491,87,184,90,1463,8,5,17,14724,2021,9150,1565,7,12,4,4,1,33,0,1,5,1,36,10,136,5,8,199,1375
6500,חדרה,64242,36089,56.18,35440,649,2784,14,803,768,24,135,63,264,66,615,6,11,25,9110,6904,9839,481,68,13,7,17,44,36,0,8,16,11,63,37,139,21,22,107,2919
1200,מודיעין-מכבים-רעו,42244,31971,75.68,31781,190,4487,4,1559,118,5,632,55,103,64,897,3,0,19,10958,2208,8348,1234,13,5,10,1,1,22,0,4,2,1,31,3,79,6,0,165,744
6300,גבעתיים,43584,29566,67.84,29284,282,5777,9,718,131,2,305,173,370,119,431,8,2,23,11105,1406,5863,1802,1,5,3,1,5,27,0,3,5,2,36,21,119,6,7,165,634
7000,לוד,50723,28094,55.39,27475,619,1223,9,625,137,1012,46,667,133,30,1070,16,6,10,3789,6031,6543,192,39,10,20,6,1860,29,0,8,15,24,37,27,85,11,13,53,3699
9100,נהריה,43940,26138,59.49,25793,345,2357,10,474,198,20,74,59,180,106,491,10,8,24,6651,5706,6891,348,14,10,5,10,9,18,0,12,15,24,39,10,112,11,10,118,1769
8500,רמלה,48009,25949,54.05,25240,709,1287,2,304,89,630,169,914,92,44,495,16,18,16,3611,3850,7470,207,14,9,13,17,1720,17,0,10,20,10,44,37,67,14,14,47,3973
6800,קרית אתא,41963,25339,60.38,24906,433,1745,7,913,411,9,60,29,145,43,737,3,3,13,5950,4988,7090,176,37,2,4,6,4,25,0,4,8,9,55,23,85,12,11,89,2210
9700,הוד השרון,34051,24495,71.94,24306,189,4075,5,279,71,5,231,76,105,98,220,1,1,17,9868,1462,5445,1063,9,2,1,1,5,32,0,1,8,4,22,8,101,2,2,137,949
2610,בית שמש,38591,23790,61.65,23471,319,625,2,1442,4829,10,89,19,24,10,1784,8,4,7,1449,2800,5204,95,16,3,4,6,7,12,0,4,3,1,16,10,34,6,5,34,4909
1139,כרמיאל,38864,23494,60.45,23041,453,1805,5,301,393,47,98,116,65,38,310,3,3,10,5837,7413,5087,360,20,5,6,6,29,20,0,4,4,19,35,23,110,8,11,74,776
2650,רמת השרון,32738,23007,70.28,22851,156,4494,4,187,399,6,176,123,125,53,230,3,0,14,9344,839,4321,1483,0,9,0,0,2,14,0,1,4,6,17,7,92,2,2,114,780
7600,עכו,38794,22718,58.56,22244,474,849,3,283,103,3125,25,1668,61,16,464,3,7,8,2701,4910,4971,99,7,1,6,4,495,10,0,4,9,24,23,42,48,5,9,35,2226
2630,קרית גת,37341,22667,60.7,22236,431,1035,2,525,824,12,43,13,103,25,754,4,7,9,3333,5667,5864,131,34,7,0,6,16,22,0,6,12,4,40,33,88,14,11,41,3551
7300,נצרת,47041,22506,47.84,22137,369,279,2,3,85,5194,4,11406,15,6,22,14,4,4,375,54,245,212,3,9,4,4,3862,152,0,5,9,18,12,50,18,18,7,11,31
8200,קרית מוצקין,34365,22032,64.11,21656,376,2648,5,593,68,15,74,26,250,53,294,2,8,17,6999,4151,4979,297,34,5,6,6,8,40,0,0,10,2,26,16,90,1,5,74,854
1061,נצרת עילית,39340,21178,53.83,20562,616,945,8,171,132,547,36,1280,181,24,346,4,12,18,3623,7781,4437,174,23,10,9,8,90,23,0,6,9,14,33,46,72,16,28,42,414
9500,קרית ביאליק,32888,20414,62.07,20079,335,2491,4,232,92,10,79,13,187,43,187,3,9,24,6982,3656,4602,312,16,4,4,3,1,42,0,2,7,9,38,18,99,8,10,61,831
9600,קרית ים,34786,19246,55.33,18821,425,1229,4,271,71,20,32,20,109,35,260,4,9,18,4665,5634,4905,141,31,2,7,3,9,83,0,6,12,12,34,27,86,8,15,61,998
7700,עפולה,32576,18220,55.93,17923,297,1078,6,404,120,14,38,13,73,45,520,9,4,18,3379,4013,6245,151,77,8,9,10,13,18,0,4,10,5,55,30,71,11,14,56,1402
2640,ראש העין,26156,18111,69.24,17894,217,1812,3,488,237,1,89,40,38,35,593,0,0,9,4411,1322,5915,356,3,2,2,2,7,11,0,3,3,1,19,3,58,1,2,61,2367
2600,אילת,44156,17841,40.4,17624,217,1425,5,302,84,18,118,74,88,26,362,5,0,19,6246,2653,4327,290,10,2,3,4,32,17,0,5,3,5,33,17,127,2,2,59,1261
7200,נס ציונה,25302,17624,69.65,17459,165,2636,5,337,102,1,178,35,91,63,237,4,2,6,6450,1283,4232,557,6,3,5,5,5,23,0,2,5,4,38,7,61,6,6,79,985
2620,קרית אונו,23408,16370,69.93,16216,154,2811,1,421,70,2,150,49,94,50,263,1,1,18,5911,1034,3764,633,4,5,5,5,3,13,0,8,3,9,16,6,54,7,2,80,723
6700,טבריה,32058,16233,50.64,16029,204,895,5,384,423,3,22,11,58,13,403,1,5,2,2364,2530,5684,57,8,2,5,1,12,6,0,3,3,3,11,9,48,3,3,23,3029
2660,יבנה,24960,16144,64.68,15929,215,1493,3,378,186,1,56,14,45,33,539,3,2,12,4006,1523,5023,264,3,9,3,7,9,22,0,4,11,3,27,10,73,6,8,50,2103
3616,מעלה אדומים,22714,15071,66.35,14918,153,459,1,700,113,1,53,13,44,14,1344,0,1,10,1884,2255,6645,87,12,4,1,2,0,5,0,2,0,3,22,2,42,4,2,42,1151
2710,אום אל-פחם,24838,14660,59.02,14543,117,28,0,0,2,3521,6,8031,0,3,8,3,1,1,31,7,12,51,2,3,3,1,2706,8,0,2,2,3,3,40,8,7,6,3,41
2400,אור יהודה,24705,14234,57.62,13963,271,1215,7,408,117,4,43,24,61,42,212,2,4,8,3168,1283,4294,182,5,0,2,7,6,13,0,3,6,4,34,11,48,7,7,43,2693
9400,יהוד-מונוסון,20438,14173,69.35,14010,163,1913,1,217,102,1,73,19,65,41,223,6,3,8,4726,1143,4018,387,3,0,1,7,4,9,0,3,3,4,24,6,64,3,6,50,877
7800,פרדס חנה-כרכור,22740,13946,61.33,13730,216,1396,2,440,93,3,345,81,118,42,237,5,0,17,3965,1714,3490,546,5,4,4,2,3,11,0,2,8,5,27,14,74,11,4,55,1007
3797,מודיעין עילית,15679,13635,86.96,13575,60,1,0,32,9870,0,3,0,1,0,257,0,0,0,7,15,140,1,0,0,0,0,0,2,0,2,0,0,0,0,3,1,0,1,3239
2730,טייבה,20688,13321,64.39,13150,171,31,0,16,1,2070,1,3715,0,3,2,3,0,1,42,6,18,52,2,0,1,0,7029,15,0,0,0,3,2,6,1,1,1,3,125
516,שגור,17413,12834,73.7,12748,86,112,1,28,3,3183,2,3773,1,2,8,6,1,0,265,4,31,111,0,0,4,2,5094,2,0,0,2,19,3,9,15,3,6,4,54
